"county_code","date_id","Trump","Clinton","Johnson","Stein"
6089,"0917",2.25,5.29,0,0
6091,"0917",1.65,5.49,0,0
6093,"0917",2.11,4.55,0,0
6095,"0917",2.27,4.36,0,0
6097,"0917",2.39,4.96,0,0
6099,"0917",2.37,4.26,0,0
6101,"0917",1.89,4.57,0,0
6103,"0917",2.21,5.00,0,0
6105,"0917",2.50,6.70,0,0
6107,"0917",2.27,3.96,0,0
6109,"0917",3.57,5.97,0,0
6111,"0917",2.78,5.47,0,0
6113,"0917",2.09,4.25,0,0
6115,"0917",1.54,3.99,0,0
8001,"0917",2.08,3.93,0,0
8003,"0917",1.96,3.91,0,0
8005,"0917",2.23,4.53,0,0
8007,"0917",1.33,7.97,0,0
8009,"0917",1.56,7.03,0,0
8011,"0917",2.67,2.97,0,0
8013,"0917",2.08,4.79,0,0
8014,"0917",2.07,4.55,0,0
8015,"0917",1.36,5.51,0,0
8017,"0917",0.80,7.20,0,0
8019,"0917",2.11,5.70,0,0
8021,"0917",1.40,2.79,0,0
8023,"0917",1.43,5.14,0,0
8025,"0917",3.60,6.47,0,0
8027,"0917",3.39,7.45,0,0
8029,"0917",1.45,5.24,0,0
8031,"0917",2.07,4.71,0,0
8033,"0917",0.00,5.88,0,0
8035,"0917",2.66,5.14,0,0
8037,"0917",3.07,5.77,0,0
8039,"0917",2.66,5.46,0,0
8041,"0917",2.41,5.18,0,0
8043,"0917",2.36,5.72,0,0
8045,"0917",2.92,5.10,0,0
8047,"0917",2.49,5.22,0,0
8049,"0917",1.98,5.66,0,0
8051,"0917",1.68,4.04,0,0
8053,"0917",2.17,5.43,0,0
8055,"0917",2.38,5.41,0,0
8057,"0917",1.34,5.14,0,0
8059,"0917",2.47,5.19,0,0
8061,"0917",2.67,5.33,0,0
8063,"0917",1.87,3.06,0,0
8065,"0917",2.12,3.76,0,0
8067,"0917",1.95,4.80,0,0
8069,"0917",2.35,4.95,0,0
8071,"0917",1.54,3.81,0,0
8073,"0917",1.57,3.37,0,0
8075,"0917",2.27,3.88,0,0
8077,"0917",1.81,5.16,0,0
8079,"0917",1.81,3.01,0,0
8081,"0917",1.11,3.88,0,0
8083,"0917",1.51,5.04,0,0
8085,"0917",1.77,5.32,0,0
8087,"0917",2.65,4.80,0,0
8089,"0917",1.72,4.02,0,0
8091,"0917",1.49,7.25,0,0
8093,"0917",2.53,6.24,0,0
8095,"0917",1.36,4.30,0,0
8097,"0917",3.13,4.02,0,0
8099,"0917",2.21,5.30,0,0
8101,"0917",2.20,4.41,0,0
8103,"0917",1.85,4.02,0,0
8105,"0917",2.51,4.26,0,0
8107,"0917",2.11,6.10,0,0
8109,"0917",1.99,4.38,0,0
8111,"0917",0.00,8.89,0,0
8113,"0917",2.18,4.29,0,0
8115,"0917",2.63,3.68,0,0
8117,"0917",2.29,5.48,0,0
8119,"0917",2.36,6.68,0,0
8121,"0917",1.14,4.00,0,0
8123,"0917",2.09,4.57,0,0
8125,"0917",2.70,4.62,0,0
9001,"0917",2.85,6.47,0,0
9003,"0917",2.52,5.04,0,0
